Adress,Price,Room,Bath,Property_type,Bedrooms_available,Available_from,Available_for,Sharing_with,Owner_occupied,Preferences,Description,Date_entered/renewed,Property_views
"kimmage road west, Terenure, Dublin 6",Ä600 per month,Single Room,Shared Bathroom,House,1,Immediately,1 Year +,2,No,Female,"DescriptionSingle room available to share with 2 female working professionals. House has large garden, 2 sitting rooms, kitchen, bathroom and garage. Location is ideal for parks, gym, bus and shopping. City centre is 40min walk. Send a message with a brief description of yourself to organise a viewing.",08/04/2023,"2,798"
"Dublin City Comics, 103/104 Capel Street, Dublin 1, Dublin 7",Ä850 per month,Shared Room,Shared Bathroom,Apartment,1,Immediately,1 Year +,2,No,Male,"DescriptionShare  room. 
 
BEST OFFER FOR STUDENTS!  
 
Will you share a room with me 
 
If you are interested, please send me a private message about yourself. 
 The center of Dublin (Capel str.)
 The apartment has just been renovated.  
600 meters to Spire. 
 
Plenty of space for luggage and your belongings
 
 New bed, new mattress, new kitchen, new carpet.  
 
 Available: washing machine, dryer, microwave, refrigerator, stove.
 Separate refrigerator for each room 
 
 Very close to all central attractions, language schools, etc. 
 
 Around a lot: cafes, shops, fitness clubs, shopping centers, Lidl, Centra, Tesco, Penneys, Dunnes store are very convenient. 
 
 You can start living from 11/04 for a long time. 
 
Price 900 euro per month + electricity (~30 euro)  per month. 
 Deposit 850  euro (refundable at the end of the rental) 
 
 Kind regards.",13/04/2023,420
"Ballycarnan, Portlaoise, Portlaoise, Co. Laois",Ä130 per week,Double Room,Shared Bathroom,House,1,Immediately,1 Year +,3,No,Male / Female / +1 Person,"DescriptionDouble room available with king size bed in serviced accommodation. 
Couples accepted.

Contact 087 9900672 if interested",12/04/2023,356
"Barnahask, Curracloe, Co. Wexford",Ä170 per week,Double Room,En-suite,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionDouble ensuite bedroom  available for 170 Euro per week. The bedroom has a king sized bed and built in wardrobes.

The house is located 10 mins walk from both Curracloe and The Raven. 

Rent includes wifi and refuse collection. Heating and electricity will be split. 

No smokers and no pets. References are required.

Please email me for further information",14/04/2023,250
"24 Heidleberg, Milford Grange, Castletroy, Co. Limerick",From Ä110 to Ä130 per week,Double Room,Shared Bathroom,House,4,"May 23rd, 2023",3 Months,1,No,Male / Female,"DescriptionSummer 2023 only AVAILABLE.- full for college year. Rooms to rent sharing with final year. References required. 
Please email all tenant college details and reference required. All Bills divided between tenants Electricity Heating Bins TV Broadband etc. 

Impressive semi-detached residence located on a large corner site. Accommodation: entrance hall, lounge, dining, new fitted kitchen, toilet  whb, 5 double bedrooms  main bathroom. The property enjoys DG PVC windows, OFCH, new internal doors  new fitted kitchen. Within walking distance to U.L., shops, banks, Milford National School etc. This is an excellent house in turn key condition located on a quiet Cul de Sac. 

FAB 5 Bedroom house. 5 large Double bedrooms. Large Living room  NEW Kitchen with all mod cons. 4th years preferred. Oil central heating. ESB Oil bills paid divided between the tenants.",12/04/2023,"3,487"
"Mountain Road, Moycullen, Co. Galway",Ä170 per week,Double Room,Shared Bathroom,House,1,"May 7th, 2023",6 Months,2,Yes,Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 34308",21/03/2023,250
"Paws Paradise, Crann√É∆í√Ü‚Äô√É‚Ä†√¢‚Ç¨‚Ñ¢√É∆í√¢‚Ç, Clonegal, Co. Wicklow",Ä550 per month,Double Room,En-suite,House,1,Immediately,1 Year,1,Yes,Male / Female,"Description1 bedroom available in a detached Country house full of green, owner occupied. No minimum term. Must have wheels. Located at y14kw01",10/04/2023,918
"Apartment 108, Block E, The Island, Martin's Row, Dublin 20","Ä1,400 per month",Double Room,Shared Bathroom,Apartment,1,Immediately,1 Year +,2,No,Male / Female / +1 Person,"DescriptionThree bedroom, modern open planned second floor apartment, with amazing views of the river Liffey.
Chapelizod village with chemist par and great pubs, bus stop outside and Phoenix Park next door. Sharing with a male and female flatmates. Couple ok",08/04/2023,"1,344"
"34 The Fairway, The Old Course, Mallow, Mallow, Co. Cork",Ä150 per week,Single Room,Shared Bathroom,House,1,"May 15th, 2023",1 Year,1,Yes,Female,"DescriptionLuxurious, modern, comfortable home. Ten mins walk from town and Train Station.",11/04/2023,266
"Marigold Road, Darndale, Dublin 17",Ä200 per week,Single Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 5111B",21/03/2023,440
"Bracklone Street, Portarlington, Co. Laois",Ä100 per week,Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 24315",21/03/2023,739
"Griffinrath Hall, Maynooth, Co. Kildare",From Ä135 to Ä145 per week,Single & Double Room,Shared Bathroom,House,1,Immediately,1 Year +,3,Yes,Male / Female,"DescriptionDouble room available for rent for long or short term in quiet well maintained house. All bills included in the price of √¢¬Ç¬¨145. Sun night/Mon- Fri only. Non -smoking.  Walking distance to Maynooth town, train station and university. A few minutes drive to INTEL.  C4 Dublin Bus next to the house. C3 bus stop also nearby",10/04/2023,"2,807"
"Main Street, Tallaght, Dublin 24",Ä150 per week,Single Room,En-suite,House,1,"Jun 8th, 2023",6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host.

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 37880",11/04/2023,368
"rockbarton, Salthill, Co. Galway",Ä800 per month,Double Room,Shared Bathroom,Apartment,1,"Apr 23rd, 2023",1 Year +,1,Yes,Female,"DescriptionFancy living near the sea for summer? 

Preferably Sun pm to Fri am for 150 euros per week (all bills included)

Otherwise 800 euros monthly ( all bills included except ESB)

This is an beautiful property beside the sea with landscaped gardens and outdoor patio area for summer. 

Lovely, bright spacious double bedroom with shared bathroom in small quiet apartment complex close to the promenade and  Salthill village. 

Sharing with one mature professional 
Not suitable for double occupancy. 
No overnight guests

Close to bus stops for NUIG/UCHG and city center.
No home working
Private parking
Shorter or longer lease may be negotiated. 

Not a party house/ Non smoking house 
Deposit required and one month in advance. 
Email me a little information about yourself if interested.",13/04/2023,861
"Luttrellstown Grove, Dublin 15, Dublin 15",Ä700 per month,Double Room,Shared Bathroom,House,1,"Apr 30th, 2023",1 Year,2,No,Female,"DescriptionDouble size bed in a clean shared 3 bedroom house. 
It is located in a nice, quiet and safe neighborhood. 37 bus stop is beside the house and train station (Maynooth - City) 10 min walk. Blanchardstown Shopping centre and other amenities (gyms, parks) are are close by. 

House has has plenty of parking, washer/dryer. Bills are sperate and split between 3. 


Please provide some details about yourself in the email.",13/04/2023,"1,531"
"Oldbridge, Sallins, Co. Kildare",Ä600 per month,Double Room,Shared Bathroom,House,1,Immediately,1 Year,2,Yes,Male / Female,"DescriptionEmail enquiries only. 

Double Room available to let in this wonderful showhouse style immaculate home, shared with the Owner. 

Ready to go we have a double bedroom with fitted wardrobes available for a male or female.

The occupant will have full use of the main bathroom and this has both a bath & shower attachment which will always have hot water due to the Solar Panel water heating system. 

There is a tv point in the bedroom. 

The fully fitted kitchen is beautiful and well kept and is available to the sharing tenant.

The rear garden is south facing and will make a lovely area to relax. 

Gas central heating, cable tv, internet, solar panel water heating. 

The successful tenant will share in the monthly bills. 

References will be required prior to letting. Email us now your interest.",11/04/2023,776
"39 Cedarview, Northwood Avenue, Northwood, Dublin , Cloghran, Co. Dublin","Ä1,000 per month",Double Room,Shared Bathroom,House,1,Immediately,6 Months,1,Yes,Female,"DescriptionOne tenant only!!!!!
Contract can extend after 6 months.
You are the only tenant, independent room, independent bathroom, independent refrigerator. Live with the landlord's family and are away from home during the day from Monday to Friday.
House overall facilities: A2 rating, 24-hour hot water, solar energy, Alarm, 500MB fiber optic network, front and rear yards and side doors, independent laundry room (washing machine, dryer, vacuum cleaner, mopping machine, etc.), open fire stove, etc. All kinds of home appliances are complete.
Room (with door lock): single bed (pillow quilt), bedside table (bedside night light, bedside Bluetooth stereo with alarm clock), wardrobe (several hangers), desk with drawer (1.2m), small bookcase, lift chair, Desk lamp, British watch socket, shoe box *4, trash can, Led cosmetic mirror.
Bathroom: shower room, bathtub, shelf, etc.
Transportation: No. 4, No. 155, No. 16, No. 13, etc. go directly to the city center, DCU and other places. There are Lidl, Aldi, Spar, Costa, pharmacies, dry cleaners, Santry park, etc. nearby.
Requirements: love to be clean,  no pets, no smoking and drinking, no parties, cheerful personality.",11/04/2023,995
